
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.0)

2026-07-16 12:33:43 [] INFO  c.r.r.ReturnManagementServiceApplication - Starting ReturnManagementServiceApplication using Java 21.0.2 with PID 18412 (C:\Users\2507305\Desktop\MicroServices\return-management-service\target\classes started by 2507305 in C:\Users\2507305\Desktop\MicroServices\return-management-service)
2026-07-16 12:33:43 [] DEBUG c.r.r.ReturnManagementServiceApplication - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-07-16 12:33:43 [] INFO  c.r.r.ReturnManagementServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-16 12:33:43 [] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8888
2026-07-16 12:33:43 [] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=return-management-service, profiles=[default], label=null, version=null, state=null
2026-07-16 12:33:45 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-07-16 12:33:46 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 345 ms. Found 5 JPA repository interfaces.
2026-07-16 12:33:46 [] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=b892d243-c353-3beb-b4d9-47de0859a09e
2026-07-16 12:33:47 [] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$LoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$LoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2026-07-16 12:33:47 [] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.loadbalancer.config.BlockingLoadBalancerClientAutoConfiguration' of type [org.springframework.cloud.loadbalancer.config.BlockingLoadBalancerClientAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2026-07-16 12:33:47 [] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.loadbalancer.config.LoadBalancerAutoConfiguration' of type [org.springframework.cloud.loadbalancer.config.LoadBalancerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
